aweek,bvid,category,coin,favorite,like,mid,name,play_link,reply,title,view
167,BV1ig411d7Q8,综艺,122465,22100,136192,883968,暴走漫画,https://b23.tv/BV1ig411d7Q8,3870,【暴走大事件第九季】01 暴走大事件进入元宇宙时代，有痔之士痛诉非人遭遇,1188579
167,BV1x34y1E7Uz,热点,58926,19592,234950,473837611,新华社,https://b23.tv/BV1x34y1E7Uz,2982,在召唤师峡谷，守护他们的热爱,2371349
167,BV19S4y1B79j,搞笑,32592,11846,181562,1020040160,永琪吗,https://b23.tv/BV19S4y1B79j,2645,永琪与紫菜蛋花兔的缺氧日记,2577773
166,BV1Ju411y76n,搞笑,96730,37051,284768,3066511,特效小哥studio,https://b23.tv/BV1Ju411y76n,2106,天崩地裂！穿越时空！特效小哥大战建模小哥4.5,3065894
166,BV1ir4y1H74w,数码,1710827,469224,1505186,163637592,老师好我叫何同学,https://b23.tv/BV1ir4y1H74w,24696,【何同学】我找到了我最喜欢的数码产品，但是...,10614995
166,BV1JS4y1e7DQ,绘画,18982,46792,445953,1131457022,人民日报,https://b23.tv/BV1JS4y1e7DQ,1177,【小鸡恰恰舞】航天员回家版,4182439
166,BV1ZF411g7EZ,手机游戏,585997,298590,791714,401742377,原神,https://b23.tv/BV1ZF411g7EZ,51849,《原神》PV短片——「雪霁逢椿」,9906203
166,BV12u411C7EH,美食制作,362276,59328,516712,18202105,绵羊料理,https://b23.tv/BV12u411C7EH,7184,忙活了3天3晚，吹出了一坨碳水炸弹！,5368185
166,BV1ii4y1U7fS,设计·创意,348174,126342,325751,125526,-LKs-,https://b23.tv/BV1ii4y1U7fS,9597,半个月8000人投稿！我的征集比赛来了这么多大佬？,2463719
166,BV18u411v7wW,电子竞技,344517,75309,455181,1923246745,Theshy,https://b23.tv/BV18u411v7wW,20583,在下TheShy，今天正式入驻B站啦，期待与各位交手！,4344184
167,BV1ia411E71t,特摄,32249,16460,55380,395135643,Milk缪客,https://b23.tv/BV1ia411E71t,5574,来，在线抽奥特曼盲盒扭蛋！！！！！！！！,617478
167,BV13P4y1F77W,原创音乐,19092,30224,83445,3046429,祖娅纳惜,https://b23.tv/BV13P4y1F77W,1782,【祖娅纳惜VS排骨教主】超燃Battle说唱《破沙》,2174061
167,BV1z34y1E7pa,GMV,121905,85101,265491,4796002,未知名的小白,https://b23.tv/BV1z34y1E7pa,6297,【原神×绝区零】用原神高度还原绝区零pv,1838951
167,BV1mv4y1A7TK,电子竞技,13903,9947,84219,178778949,英雄联盟,https://b23.tv/BV1mv4y1A7TK,6673,【英雄联盟】《一切的未来》虚空女皇CG动画,2051751
167,BV1wr4y1t7EX,明星综合,64787,19404,132091,1254786108,钉宫理惠,https://b23.tv/BV1wr4y1t7EX,6035,【钉宫理惠】别催了，我又来B站骂人了！,1320147
167,BV11r4y147jv,手工,392824,188553,918896,487565374,敦敦Art,https://b23.tv/BV11r4y147jv,3658,捏塑袁爷爷一周年 禾下乘凉梦,5566198
166,BV1UA4y197Y9,绘画,98881,42671,692968,1838326986,帅农鸟哥,https://b23.tv/BV1UA4y197Y9,6754,手里排了好多村书记的单子，可能得画一阵子了。,8788177
166,BV1dR4y1N7Qx,人文历史,113219,42918,322310,23947287,小约翰可汗,https://b23.tv/BV1dR4y1N7Qx,9593,全能发明家为何受穷？【小约翰】,3834484
166,BV1TS4y1A79z,桌游棋牌,296140,74349,318728,1958342,水无月菌,https://b23.tv/BV1TS4y1A79z,8287,一般打到这里就投降了【水无月菌】,3835628
166,BV1S94y1d7dm,单机游戏,100519,48529,325645,546195,老番茄,https://b23.tv/BV1S94y1d7dm,6326,你是我的神！！！,4210953
166,BV1iY411P7HR,手工,78844,23654,124322,2200736,才疏学浅的才浅,https://b23.tv/BV1iY411P7HR,1659,【才浅手工】玩了老头环想当法师？做个法杖竟有魔法效果！,880133
166,BV1XZ4y1y7du,搞笑,286717,72592,472320,147166910,雨哥到处跑,https://b23.tv/BV1XZ4y1y7du,10309,别眨眼，这期全程究极高能！！！,4594433
166,BV1JY4y1p7NM,极客DIY,121942,42444,156904,325272035,艾奥科技,https://b23.tv/BV1JY4y1p7NM,23635,全球首台升降摄像头iPhone，来了。,2931987
167,BV1A3411P7g6,喵星人,52647,25985,403007,263090405,猫不理咖啡,https://b23.tv/BV1A3411P7g6,1698,得到了甲方的赞助,3845328
167,BV1tv4y1N7vB,出行,116994,10624,113717,697166795,徐云流浪中国,https://b23.tv/BV1tv4y1N7vB,5293,骑行西藏阿里，一天之内两次遭遇暴风雪，夜晚在大山中独自露营,1428092
167,BV1pY4y167MY,明星舞蹈,24742,13469,178504,14501952,Fame亮亮,https://b23.tv/BV1pY4y167MY,3854,王心凌都没我甜，王心凌男孩我当定了,2106676
167,BV16Y4y157Er,健身,13001,47450,42262,517661394,刘逗逗不怎么逗,https://b23.tv/BV16Y4y157Er,1165,王心凌一声爱你炸出全网老粉 爱你原创健身舞 快乐健身 舞蹈入门,1496807
166,BV1VY4y1a78f,手机游戏,120449,63955,272683,1340190821,崩坏星穹铁道,https://b23.tv/BV1VY4y1a78f,21051,《崩坏：星穹铁道》三月七角色PV——「来，拍照啦！」,3322468
166,BV1nT4y1e7hf,综合,79319,67056,137647,337747793,-A梦-,https://b23.tv/BV1nT4y1e7hf,3123,【毕业设计】个人制作C4D国风短片《烟雨行舟》,1056757
166,BV1ha411v7d4,手工,282528,89040,410445,411231745,天亮手工,https://b23.tv/BV1ha411v7d4,3307,Jack 船长：you 凉席 is my black珍珠号,7302127
166,BV1zR4y1N7da,短片·手书·配音,165254,106370,228367,888465,暗猫の祝福,https://b23.tv/BV1zR4y1N7da,3209,《原神》光华容彩祭纪念手书「你的眼里绽放着流星」,1455584
166,BV1GY4y1p7fd,演奏,82928,58106,244593,1513064930,白林Bylin,https://b23.tv/BV1GY4y1p7fd,2808,一张桌子拉出【平凡之路】,3257926
166,BV1Ja411v7DK,美食制作,97747,108620,238412,29329085,二喵的饭,https://b23.tv/BV1Ja411v7DK,3149,这玩意儿凭什么卖1毛钱一个！！！,3130642
166,BV1Za411e7jd,喵星人,109033,38841,351590,26321770,和猫住,https://b23.tv/BV1Za411e7jd,3946,轮到我捡猫了！它居然长了张1亿人看过的漫画脸？,2284679
166,BV19u411C7aK,科学科普,7833,67298,563473,439478093,中国食品报融媒体,https://b23.tv/BV19u411C7aK,11528,雪糕红黑榜？这位老师，你定的？,8196000
166,BV1BS4y1A7We,日常,56484,13624,265902,113362335,宝剑嫂,https://b23.tv/BV1BS4y1A7We,10397,千万不能问男友和闺蜜这些问题！！,2361510
166,BV1zu411C7iU,MMD·3D,11146,45115,92061,10579922,宛倾然,https://b23.tv/BV1zu411C7iU,228,霍格沃茨首届大型时装设计走秀大赛现场！,1027427
166,BV1vA4y197mu,美食制作,65111,245603,210489,17495873,胡仔一人食,https://b23.tv/BV1vA4y197mu,2245,17个简单有趣的小食谱～,7895226
166,BV12F411g7yu,MAD·AMV,317593,316898,587326,771530,_傑傑菌_,https://b23.tv/BV12F411g7yu,5977,“你管这叫过家家？”,8847690
166,BV1V5411m77u,日常,117525,157609,216791,82571698,知三冬,https://b23.tv/BV1V5411m77u,4403,“人生本该自由，乘兴而去，尽兴而归”,3144514
166,BV16r4y1n7QT,搞笑,33720,8838,183683,1532165,papi酱,https://b23.tv/BV16r4y1n7QT,2134,当大姐大来到职场,2245571
165,BV1A44y1u7PF,日常,264601,190341,424772,8047632,哔哩哔哩弹幕网,https://b23.tv/BV1A44y1u7PF,6736,《不被大风吹倒》：莫言写给青年朋友的一封信,4921616
165,BV1W541127zq,短片·手书·配音,435259,397224,530708,33716779,lyasmind,https://b23.tv/BV1W541127zq,5434,【原创分镜动画】Eyes that Watch the World,3756768
165,BV1E34y1a7vU,单机游戏,405255,144098,630970,546195,老番茄,https://b23.tv/BV1E34y1a7vU,9604,【老番茄】史上最骚杀手(番外篇③),4423766
165,BV115411m7rn,MAD·AMV,161107,259882,766430,9980514,幻ゝ,https://b23.tv/BV115411m7rn,3729,⚡️  猫  核  老  鼠  ⚡️,6814000
165,BV1aL4y1c7Wo,搞笑,265093,104292,621566,5970160,小潮院长,https://b23.tv/BV1aL4y1c7Wo,10872,不要“做”挑战？（第十五期）,7722064
165,BV1t44y1g7e6,日常,201059,91110,295559,53456,Warma,https://b23.tv/BV1t44y1g7e6,5919,【warma】你也在郁闷吗？来看点轻松的吧！,2242877
165,BV173411K7fQ,综艺,102742,105920,167052,504672822,浙江卫视,https://b23.tv/BV173411K7fQ,27986,【天赐的声音】周深 胡梦周《调查中》,3040574
164,BV1Tr4y1b7VN,鬼畜调教,111892,133304,554703,5374954,深海色带鱼,https://b23.tv/BV1Tr4y1b7VN,8568,云南的和不是云南的都沉默了,11599360
164,BV1i54y1Z76t,短片·手书·配音,137432,114519,517134,158119101,远古黑金,https://b23.tv/BV1i54y1Z76t,4197,《 爷 爷 拯 救 不 完 了 》,5247351
164,BV1bt4y1x7Wk,野生技能协会,661607,128765,778473,38606568,一颗咕咕星,https://b23.tv/BV1bt4y1x7Wk,5788,真人手法VS动漫特效！我在现实世界还原了JOJO里的赌术！,5800253
164,BV1GS4y1b7n7,短片,189817,57666,223162,946974,影视飓风,https://b23.tv/BV1GS4y1b7n7,1904,白嫖党的硬币保不住了？自制「隐形人」短片，用特效夺走你的硬币,4419252
164,BV1Nv4y1A7R1,鬼畜调教,69600,100411,335575,6054967,茶咩cc,https://b23.tv/BV1Nv4y1A7R1,2338,废 话 连 篇,6535310
164,BV1o5411973k,美食制作,61662,168662,330920,1895195099,江寻千,https://b23.tv/BV1o5411973k,4431,我打赌，这个猫咪做出来你能玩一天,3749312
164,BV1TR4y1A7E8,短片,152700,91958,174134,543832538,李洪绸,https://b23.tv/BV1TR4y1A7E8,14140,低成本口碑佳作《毛骗》正式登陆B站，S1E01 梦开始的地方！（防骗！反诈！）,3899265
164,BV1Av4y1N7bZ,科学科普,66775,58588,801773,14804670,无穷小亮的科普日常,https://b23.tv/BV1Av4y1N7bZ,7889,【亮记生物鉴定】网络热传生物鉴定39,7711502
163,BV1uS4y1w7GK,美食制作,1317757,193955,973896,52190805,麟宣森,https://b23.tv/BV1uS4y1w7GK,3523,进来让世界感受一下什么是内卷王中王！！,8027636
163,BV1EY411P7tB,日常,202398,58448,687431,11870568,拉宏桑,https://b23.tv/BV1EY411P7tB,7318,被央视转发视频后，全国人民都知道我是楼长了？,7919219
163,BV1644y1G7CC,健身,81838,239309,341182,495370757,莱美中国LESMILLS,https://b23.tv/BV1644y1G7CC,7046,《 本 草 纲 目 》 ，上 点 难 度,9210535
163,BV1BT4y1a7jQ,搞笑,253661,61686,342083,81824112,导演小策,https://b23.tv/BV1BT4y1a7jQ,8930,好人，就该被人拿枪指着？,5506075
163,BV1Mi4y1m74n,原创音乐,386580,213504,409516,1577804,某幻君,https://b23.tv/BV1Mi4y1m74n,12669,在家隔离50天，写了首歌送给2019年,2813691
163,BV1VA4y1D7fJ,美食制作,90491,193781,203200,270105105,赖皮猴爱美食,https://b23.tv/BV1VA4y1D7fJ,2512,这 配 方 一 百 万 都 不 卖！,3346504
163,BV1634y1e7Uc,搞笑,29480,23173,150201,3066511,特效小哥studio,https://b23.tv/BV1634y1e7Uc,2914,当 代 军 迷 大 战,4285062
163,BV1rF411u7XQ,美食侦探,173742,37342,498579,99157282,盗月社食遇记,https://b23.tv/BV1rF411u7XQ,3412,重庆火烧铁板！老板当面玩火，直接把我看傻了…,3460264
162,BV1GZ4y127U6,单机游戏,608957,241465,844116,546195,老番茄,https://b23.tv/BV1GZ4y127U6,11293,让 我 看 看,8423160
162,BV14Y411E74z,手办·模玩,794176,179651,631126,37607457,凹凸赛克,https://b23.tv/BV14Y411E74z,7246,《武林外传》！！！它终于来了！,5257473
162,BV1LY411E7UY,MV,450501,177446,666778,1646036311,凤凰传奇,https://b23.tv/BV1LY411E7UY,15890,【凤凰传奇翻唱孤勇者】去吗？去啊！！战吗？战啊！！！,7464667
162,BV1yS4y1w7V1,数码,299284,97037,288886,946974,影视飓风,https://b23.tv/BV1yS4y1w7V1,6355,无人机扫描整座山！耗费30天，用10000张照片还原世界文化遗产,2956321
162,BV1yS4y1Y7s3,社会,263229,48301,320094,330415548,谭乔,https://b23.tv/BV1yS4y1Y7s3,18080,【谭乔寻人记】气 球 飞 走 了,2984002
162,BV1tu411v77g,校园学习,204628,670996,457335,40427625,取景框看世界,https://b23.tv/BV1tu411v77g,5614,这些up主是中学生和大学生的救星啊啊啊啊啊！！！学习方法｜免费课程｜兴趣技能｜生涯规划,3940631
162,BV1C94y1Z7qL,日常,210230,40444,452547,11870568,拉宏桑,https://b23.tv/BV1C94y1Z7qL,5737,崩溃了，不想当楼长了......,5418308
161,BV1yA4y1d72F,科学科普,115895,32591,448413,13407784,大宽物理,https://b23.tv/BV1yA4y1d72F,4628,【它更强了！也更憨了。。。】,5754779
161,BV1rA4y1Z7rA,野生技能协会,284216,88436,465193,9030440,修一j,https://b23.tv/BV1rA4y1Z7rA,5048,耗时60天，用真实蛇骨标本打造一把附魔蛇骨刀,4186874
161,BV1J34y177mD,单机游戏,143383,40550,209810,137429365,火山哥哥,https://b23.tv/BV1J34y177mD,2829,我把刘畊宏做成了游戏！本草纲目+音游有没有搞头？,1924714
161,BV15W4y1C7BB,影视剪辑,122269,69755,199345,335692980,百万剪辑狮,https://b23.tv/BV15W4y1C7BB,4244,一支来自10年前的年度混剪,1846699
161,BV1d34y1j71C,短片·手书·配音,72157,60065,425300,627888730,星有野,https://b23.tv/BV1d34y1j71C,3332,【好 嘛   我 就 是 你 的 修 勾 ！】,2691082
160,BV1pU4y1S73k,极客DIY,763212,113878,819987,280793434,手工耿,https://b23.tv/BV1pU4y1S73k,26300,为了体验下在太空里那种失重旋转的感觉自己做了辆失重离心车,7943843
160,BV1oa411a7B4,美食制作,152095,152582,777824,393166851,大碗拿铁,https://b23.tv/BV1oa411a7B4,17565,求求你别停产！这玩意我能吃一辈子！！,10815836
160,BV1ru411r73v,人力VOCALOID,290651,301122,846265,28348490,咆哮丶土拨鼠,https://b23.tv/BV1ru411r73v,6553,《本草纲目》，但是废话文学,10426154
160,BV1A5411d7Dm,单机游戏,549406,186318,507173,403097853,GNwork团队,https://b23.tv/BV1A5411d7Dm,4974,【我的世界 4K】一人，四年，十亿方块，一座华夏城,3425755
